;address;city;company_name;contact_name;contact_title;country;customer_id;fax;phone;postal_code;region
70;187 Suffolk Ln.;Boise;Save-a-lot Markets;Jose Pavarotti;Sales Representative;USA;SAVEA;;(208) 555-8097;83720;ID
71;90 Wadhurst Rd.;London;Seven Seas Imports;Hari Kumar;Sales Manager;UK;SEVES;(171) 555-5646;(171) 555-1717;OX15 4NB;
72;Vinbæltet 34;Kobenhavn;Simons bistro;Jytte Petersen;Owner;Denmark;SIMOB;31 13 35 57;31 12 34 56;1734;
73;25, rue Lauriston;Paris;Spécialités du monde;Dominique Perrier;Marketing Manager;France;SPECD;(1) 47.55.60.20;(1) 47.55.60.10;75016;
74;P.O. Box 555;Lander;Split Rail Beer & Ale;Art Braunschweiger;Sales Manager;USA;SPLIR;(307) 555-6525;(307) 555-4680;82520;WY
75;Boulevard Tirou, 255;Charleroi;Suprêmes délices;Pascale Cartrain;Accounting Manager;Belgium;SUPRD;(071) 23 67 22 21;(071) 23 67 22 20;B-6000;
76;89 Jefferson Way Suite 2;Portland;The Big Cheese;Liz Nixon;Marketing Manager;USA;THEBI;;(503) 555-3612;97201;OR
77;55 Grizzly Peak Rd.;Butte;The Cracker Box;Liu Wong;Marketing Assistant;USA;THECR;(406) 555-8083;(406) 555-5834;59801;MT
78;Luisenstr. 48;Münster;Toms Spezialitäten;Karin Josephs;Marketing Manager;Germany;TOMSP;0251-035695;0251-031259;44087;
79;Avda. Azteca 123;México D.F.;Tortuga Restaurante;Miguel Angel Paolino;Owner;Mexico;TORTU;;(5) 555-2933;05033;
80;Av. Inês de Castro, 414;Sao Paulo;Tradição Hipermercados;Anabela Domingues;Sales Representative;Brazil;TRADH;(11) 555-2168;(11) 555-2167;05634-030;SP
81;722 DaVinci Blvd.;Kirkland;Trail's Head Gourmet Provisioners;Helvetius Nagy;Sales Associate;USA;TRAIH;(206) 555-2174;(206) 555-8257;98034;WA
82;Smagsloget 45;Århus;Vaffeljernet;Palle Ibsen;Sales Manager;Denmark;VAFFE;86 22 33 44;86 21 32 43;8200;
83;2, rue du Commerce;Lyon;Victuailles en stock;Mary Saveley;Sales Agent;France;VICTE;78.32.54.87;78.32.54.86;69004;
84;59 rue de l'Abbaye;Reims;Vins et alcools Chevalier;Paul Henriot;Accounting Manager;France;VINET;26.47.15.11;26.47.15.10;51100;
85;Adenauerallee 900;Stuttgart;Die Wandernde Kuh;Rita Müller;Sales Representative;Germany;WANDK;0711-035428;0711-020361;70563;
86;Torikatu 38;Oulu;Wartian Herkku;Pirkko Koskitalo;Accounting Manager;Finland;WARTH;981-443655;981-443655;90110;
87;Rua do Mercado, 12;Resende;Wellington Importadora;Paula Parente;Sales Manager;Brazil;WELLI;;(14) 555-8122;08737-363;SP
88;305 - 14th Ave. S. Suite 3B;Seattle;White Clover Markets;Karl Jablonski;Owner;USA;WHITC;(206) 555-4115;(206) 555-4112;98128;WA
89;Keskuskatu 45;Helsinki;Wilman Kala;Matti Karttunen;Owner/Marketing Assistant;Finland;WILMK;90-224 8858;90-224 8858;21240;
90;ul. Filtrowa 68;Warszawa;Wolski  Zajazd;Zbyszek Piestrzeniewicz;Owner;Poland;WOLZA;(26) 642-7012;(26) 642-7012;01-012;
91;;;Arruda Data Consulting;Rafael Arruda;;;ADCG;;;;
92;;;3BRS Data Consulting;Leandro Alves;;;3BRSDC;;;;
